customer_id,first_name,last_name,email,phone,city,state,country,age,gender,signup_date,segment,prime_member,total_spent,total_orders
1,caroline,Anderson,caroline.anderson229@yahoo.com,4410529190,Manchester,ENG,U.S.A,28,Female,2022-04-21,Loyal,Yes,2555.26,48
2,Ava,Morales,ava.morales945@hotmail.com,(791) 396-2139,Denver,CO,USA,71,Male,10-Nov-2023,Churned,Yes,17545.51,82
3,Ella,Lee,ella.lee948@aol.com,3722989659,Charlotte,NC,USA,26,Female,"March 21, 2021",VIP,Yes,10710.85,74
4,Savannah,COOK,savannah.cook113@yahoo.com,+1-211-896-2876,Milwaukee,WI,USA,45,Female,18-Mar-2023,At-Risk,Yes,12692.04,13
5,Lucy,Sanchez,lucy.sanchez553@icloud.com,(514) 445-1949,Berlin,,Germany,48,Non-binary,04/07/2023,VIP,No,24109.07,69
6,Penelope,Cruz,penelope.cruz530@hotmail.com,(802) 425-1117,Charlotte,,USA,49,Female,10/27/2023,Loyal,Yes,19615.49,52
7,Anthony,Turner,anthony.turner690@aol.com,7111908335,San Antonio,TX,USA,72,Non-binary,2020-05-26,VIP,Yes,23159.17,30
8,Penelope,DAVIS,penelope.davis400@outlook.com,+1-503-422-1958,Tucson,AZ,USA,48,Non-binary,2019-05-05,VIP,Yes,2002.79,23
9,Penelope,Thomas,penelope.thomas593@icloud.com,(467) 409-6147,Philadelphia,PA,USA,31,Non-binary,2019-01-20,Churned,Yes,9238.18,20
10,paisley,Cooper,paisley.cooper307@aol.com,4597724331,Dallas,TX,USA,45,male,2021-11-01,,Yes,4039.55,56
11,Sophia,Myers,sophia.myers855@outlook.com,4929454134,San Jose,CA,USA,69,Female,06/25/2022,New,Yes,19559.66,52
12,Joseph,Lee,joseph.lee894@gmail.com,4834820954,Charlotte,NC,USA,,Non-binary,"December 20, 2020",New,Yes,4464.2,33
13,Wyatt,Collins,wyatt.collins395@icloud.com,+1-271-880-6409,Chicago,,USA,60,Female,03-Oct-2023,At-Risk,Yes,10511.16,48
14,Owen,EVANS,owen.evans294@yahoo.com,+1-953-373-2389,Melbourne,VIC,Australia,66,Female,2022-07-20,VIP,Yes,610.63,31
15,Grayson,Torres,grayson.torres736@aol.com,,Portland,OR,United Kingdom,47,Non-binary,"February 22, 2024",Loyal,No,15316.31,64
16,Daniel,Sullivan,daniel.sullivan770@yahoo.com,+1-440-478-6502,Seattle,WA,USA,27,FEMALE,06/15/2019,Churned,No,1556.64,53
17,Liam,Ortiz,liam.ortiz966@outlook.com,9730374915,Louisville,KY,USA,,Female,"March 01, 2019",Loyal,No,14797.32,84
18,hazel,White,hazel.white217@hotmail.com,+1-253-558-4673,Louisville,KY,USA,19,Non-binary,03/24/2019,Loyal,Yes,14099.24,27
19,Lucy,Richardson,lucy.richardson797@yahoo.com,6621369670,San Antonio,TX,USA,,Male,2023-10-08,Returning,Yes,12649.02,43
20,Nora,Campbell,nora.campbell725@yahoo.com,(751) 993-8921,London,ENG,UK,33,Female,29-Aug-2023,Returning,No,21273.82,23
21,Grace,Diaz,grace.diaz11@icloud.com,(446) 907-8800,Philadelphia,PA,USA,41,Female,08-Apr-2021,Churned,No,13759.71,45
22,Amelia,Ross,amelia.ross549@aol.com,6211261115,Columbus,OH,USA,21,Non-binary,01/29/2019,Loyal,No,2564.69,1
23,Emily,Miller,emily.miller117@gmail.com,+1-321-771-7818,Phoenix,AZ,USA,46,Male,"April 07, 2020",Returning,Yes,1505.76,12
24,Caleb,Hernandez,sophia.myers855@outlook.com,+1-439-470-4241,Berlin,BE,Germany,22,Male,05-Apr-2020,At-Risk,Yes,23029.81,56
25,Joseph,Rogers,joseph.rogers613@gmail.com,(890) 789-1339,Oklahoma City,,USA,29,Non-binary,"August 21, 2021",Loyal,No,8699.03,42
